OBJECTID,HUC12,BioAqRankSW,Shape__Area,Shape__Length
1,180201590400,5,1166747898.65234,226741.887792187
2,180600080503,5,235531615.335938,110700.716745614
3,180400010703,4,250458905.125,209016.532456319
4,180703041300,2,69133066.96875,167295.313548621
5,180902021201,1,6926632.6953125,21538.5911655428
6,180101070401,5,137810692.929688,84104.026181151
7,180101070208,5,168644753.96875,64825.5767423121
8,180101051101,5,192071839.066406,65564.7760113963
9,180101051003,5,188915187.941406,78362.7787222208
10,180101020604,5,83200487.5976563,54830.9799745648
11,180101020605,5,336055616.332031,135244.551264187
12,180101010501,5,135351444.742188,62519.9076541145
13,180101010403,5,154981560.039063,66559.491352096
14,180101080702,5,66502422.84375,66148.7746917307
15,180101060401,5,106181362.195313,54813.0908975307
16,180101060305,5,100634171.484375,44208.7779255911
17,180101060402,5,115169925.503906,52232.9667880266
18,180101060403,5,234766126.996094,82019.7448053749
19,180101051002,5,108652021.378906,50775.8999944348
20,180101050602,5,179853282.539063,71841.7697229136
21,180101020408,5,140390181.011719,80332.0334422687
22,180101020601,5,91405736.3554688,56234.2585760721
23,180101020405,5,220722243.335938,73291.5542393272
24,180102091005,5,160729164.613281,85582.5916515057
25,180102091004,5,126844339.488281,52935.4860558717
26,180101010503,5,61660286.953125,43900.8235418322
27,180101010401,5,129899450.757813,55030.9808466707
28,180101010307,5,74797420.484375,41125.3173554866
29,180101010305,5,139359732.046875,75837.7185888576
30,180101080301,5,235823206.710938,87858.8093209294
31,180101030404,5,116559175.617188,59234.5615000597
32,180101080202,5,118233435.921875,53970.0362476497
33,180101060301,5,183294168.933594,71913.0900941569
34,180101050405,4,174407046.273438,79961.3677294685
35,180101050903,5,180272483.980469,75550.1729225701
36,180101020401,4,229782836.71875,81530.8628740968
37,180102111201,5,197063196.585938,74656.786394368
38,180102111209,5,122220114.175781,56135.1537322563
39,180102111204,5,136351918.324219,62379.0727520633
40,180102090802,5,225113790.660156,85703.9924202342
41,180102090701,5,153705206.734375,60236.7651272014
42,180102090605,5,109920971.042969,46569.2087778882
43,180102090401,4,73306100.1328125,38978.967221269
44,171003110303,3,1684036.6640625,10074.31852411
45,180101090105,5,171571426.808594,71320.2549720708
46,180101100101,4,201548168.316406,72709.600008293
47,180101040507,4,71215078.0976563,40832.1402971278
48,180101030302,5,138403729.003906,69703.9938850651
49,180101050201,4,110114898.988281,47705.0432967806
50,180101050206,4,145134885.726563,66181.7662647943
51,180101050106,3,110098133.027344,49537.639184142
52,180101020202,4,193894622.210938,63623.5353231823
53,180102120301,5,257857938.421875,97959.5472757559
54,180102100402,4,114728576.691406,61554.4211298205
55,180102110902,5,166678061.4375,72795.0958415587
56,180102100403,5,168185806.15625,67290.5747011513
57,180102090601,5,152453331.789063,56317.1542181462
58,180102061101,5,200613371.882813,77534.5603361442
59,180102061103,5,258067562.496094,101472.043496139
60,171003090107,1,1423114.3359375,6451.47368918138
61,180500050400,4,70255732.171875,103740.169223221
62,180500050304,5,194700933,93095.1044953467
63,180500050303,5,217873922.175781,93858.9765811601
64,180101100802,5,161248130.070313,72475.4324257306
65,180101100504,5,185732440.929688,81542.1153911527
66,180101100503,5,145908418.464844,70363.1005517512
67,180101100601,5,173432870.976563,77516.083281085
68,180101100507,5,179968884.832031,88942.4579994672
69,180101100602,5,197259105.382813,70234.2573536136
70,180101100406,4,67337100.9960938,46311.9281160097
71,180201160203,3,119167307.734375,56081.4302754765
72,180101040103,4,157218024.410156,54229.8407024675
73,180101040204,4,102688223.792969,50157.5721984965
74,180201150301,3,169112047.253906,64517.9684037899
75,180101040201,4,95077026.9023438,46013.380090716
76,180201520101,3,151673855.183594,58145.0591031324
77,180201520103,4,112593580.0625,65625.202181927
78,180201520501,3,176221906.179688,83373.2157794149
79,180102111101,5,271363549.0625,90190.2624518503
80,180102110602,5,151211873.851563,62136.6043072878
81,180102110801,5,130302205.589844,60742.5996539768
82,180102100104,5,169962078.3125,76454.860885573
83,180102080204,5,179355841.101563,77536.6178882889
84,180102080602,4,93085421.3007813,43561.1862390339
85,180102080203,5,153208335.4375,59430.4310316311
86,180102080604,5,128099877.929688,58278.7699849176
87,180102061002,5,90165955.0546875,48184.6042321936
88,171003090103,3,119917319.15625,52651.6788857368
89,180500060204,5,129228842.144531,93194.0347873004
90,180500020607,5,120958136.65625,100568.726891134
91,180500020601,5,188846538.042969,65825.9943772756
92,180500020605,5,130103005.109375,108264.553528939
93,180101100604,5,197086472.328125,75905.3375054707
94,180201620303,4,139208810.933594,83629.1791279723
95,180201160301,4,77204744.734375,48243.5905466095
96,180201160402,4,172987301.203125,71150.3323842902
97,180201150201,3,138557524.488281,56123.8404546891
98,180201150306,4,155633572.871094,76100.0597138618
99,180201520604,2,110932838.308594,77854.5702775078
100,180102110303,4,90920576.8945313,42238.4347609284
101,180102080302,3,125118209.027344,59985.447155514
102,180102060801,4,172234767.433594,58773.8992259382
103,180102070503,4,191961673.921875,81163.4852541926
104,180500060201,4,118443353.054688,63948.311539825
105,180500040902,5,180972491.828125,92907.5489631511
106,180500021001,5,99145238.6171875,406713.908652664
107,180500020401,5,126857858.746094,94904.4152211217
108,180500020702,5,234931451.621094,177468.301809984
109,180500020101,5,135755505.277344,73682.6147153931
110,180201620101,4,110361712.320313,54385.9342045276
111,180201040602,4,126064672.964844,98306.280221349
112,180201040103,3,147323873.492188,143295.72052545
113,180201570305,3,108541817.464844,60389.1543330551
114,180201570702,3,74485238.6992188,84353.6197555046
115,180201520703,4,114249544.753906,66219.5262008731
116,180201550402,5,181634795.546875,90044.3584208742
117,180201540303,5,148372446.109375,66891.0246587857
118,180201510403,5,104406710.90625,83013.2593262605
119,180200050307,4,65642560.90625,48658.5058073598
120,180200050402,3,130646461.859375,59864.9160942868
121,180200050104,4,144425807.925781,74453.0299534134
122,180200050301,4,100029439.429688,46452.1317553415
123,180200040405,3,70161154.0117188,37006.3222622076
124,180102070408,4,207355489.835938,128249.48743835
125,180102060702,5,161744579.597656,79943.9686324574
126,180600060201,5,57708484.7460938,45582.4163744906
127,180600150202,5,221903978.421875,70007.8617994647
128,180500030204,5,125083804.492188,56616.0891733855
129,180500010203,5,130062546.835938,58830.1555544872
130,180500010402,4,17006032.28125,72017.1786188879
131,180500010403,5,198342802.472656,226901.029281978
132,180500010101,4,74311120.0039063,52326.5009959382
133,180201160702,3,94844074.4492188,48584.0966210168
134,180201620503,5,127321340.042969,93374.1214901067
135,180201041005,5,118346223.007813,86888.8581794776
136,180201580303,5,114983849.945313,130350.386671656
137,180201580404,5,1206564017.88281,258432.321527109
138,180201580302,5,206362336.925781,138142.061026663
139,180201570703,4,198418941.652344,127509.59705716
140,180201570401,3,87795011.3046875,44382.6710240893
141,180201550102,3,114456768.511719,82520.9445199737
142,180201510202,5,212589345.898438,88432.3623532789
143,180201510401,5,242041618.460938,125992.781599967
144,180201510301,4,106417230.972656,72613.6539339156
145,180200040403,4,121994228.378906,66438.1583927786
146,180102050101,2,95238304.0664063,40835.3990424202
147,180200040103,2,134611026.71875,70869.3693785143
148,180600060305,5,157395170.640625,96450.0531112061
149,180600060103,4,225799360.886719,73155.1089473536
150,180600060101,5,187278809.5,69896.9326210386
151,180600150304,4,79567918.515625,51139.1392187709
152,180600020804,5,97879071.8945313,57583.8186288013
153,180500030104,5,202900192.007813,84596.6121703146
154,180500030102,5,93159981.359375,54213.8729290952
155,180500040406,5,89387524.2070313,68434.388199036
156,180201630702,5,186921204.355469,123867.181646455
157,180201610303,5,193623247.125,106753.90314342
158,180201590202,5,201874519.855469,139815.089644083
159,180201580203,4,183879474.082031,83019.4207758596
160,180201530202,4,166368670.617188,76077.0750623845
161,180201510101,4,94216869.375,43554.6859969243
162,180201510201,4,142171341.347656,60182.7744765812
163,180201530201,3,76289741.7109375,46814.2159552176
164,180201530104,3,145330713.183594,94863.649449789
165,180200030903,3,131690957.601563,60685.6336544537
166,180200040201,4,105519817.402344,46461.5989178464
167,180200030404,3,190899589.976563,85760.1547325189
168,180102041303,2,296894444.453125,139918.261515901
169,180102041403,2,82174489.2382813,102940.980338987
170,180600051304,4,73271439.5117188,46668.5367891642
171,180600050704,5,171918189.015625,74207.1743024015
172,180600050703,5,80538078.3710938,57735.4745935819
173,180600051405,4,142980917.167969,74866.8872583521
174,180600051404,3,64793498.9921875,49409.448302436
175,180600020102,5,213385164.675781,98769.144921392
176,180500030101,4,164142601.96875,90690.9416478201
177,180600020201,4,109002653.222656,72722.0113002069
178,180600020205,4,76235993.6054688,51688.7015129773
179,180400020101,4,100145922.269531,64022.1347676056
180,180400011903,3,124500519.53125,85062.0315706116
181,180400030501,5,73758111.921875,56382.9434382204
182,180400130803,5,147960495.082031,94399.1640363015
183,180201630403,5,203519442.417969,118586.899149336
184,180400130503,4,192098780.269531,137689.476832437
185,180201610204,5,233943084.238281,87299.8716386125
186,180201251002,4,144242013.554688,77928.5083419225
187,180201250902,3,173230342.828125,69559.8810694671
188,180201260402,5,211818440.585938,74333.8970667215
189,180201570202,4,135776430.042969,77839.1600322808
190,180201210101,3,198570490.800781,104900.448973531
191,180200030505,4,252497851.816406,93153.8062671034
192,180102041104,3,251302950.105469,84664.4360496685
193,180600060404,5,126244876.378906,58791.6126861631
194,180600050610,4,132508812.285156,60291.9043217253
195,180600051203,4,157514072.394531,76799.3997310236
196,180600051108,3,83438664.6914063,58643.2364204717
197,180400011302,3,112714362.761719,74124.7368266812
198,180400011203,3,78487354.9140625,47704.9998173769
199,180400012102,5,321940004.0625,154828.544896256
200,180400510204,4,184460018.898438,154205.358768969
201,180201260301,3,196095259.769531,99682.7191097616
202,180201250402,4,268914518.996094,114508.454954474
203,180200030602,2,171662585.613281,63199.8546942716
204,180800030401,2,131520658.621094,85112.3420374389
205,180200030107,3,119918519.984375,55258.3074757433
206,180200030801,2,73918753.4335938,42533.2346227593
207,180200021802,2,101990270.308594,57302.1712025673
208,180200021703,3,310132181.605469,115223.605004929
209,180102041103,2,245687608.082031,77944.5101265272
210,180102040110,3,135746685.265625,92858.4670094716
211,180600060413,5,29096021.8476563,49058.3082217437
212,180600060412,5,94067302.78125,57680.9752688959
213,180600050711,3,84850023.6679688,60988.014645113
214,180600050901,3,82759766.2421875,47859.6653150636
215,180400012001,5,471873796.296875,183589.214941137
216,180400011804,3,332892425.304688,86883.356125313
217,180400510201,3,97419690.5625,56130.7029705925
218,180400110104,3,122811777.976563,70573.7703319231
219,180400110106,3,140612938.132813,74032.800317805
220,180400110103,3,137690901.390625,97466.8943972575
221,180400130203,4,85978587.5546875,59330.2220771645
222,180400120603,3,83519481.9648438,70303.6678788587
223,180400130301,3,158501570.984375,70455.5214131443
224,180201290504,4,84949501.9492188,56550.0795233955
225,180201280403,3,145323073.660156,78108.2801592098
226,180201280208,4,210052334.183594,100677.817308793
227,180201250604,4,152334065.917969,65105.9811387408
228,180201250103,3,81421833.2929688,48361.550675978
229,180201220603,2,133584641.449219,65535.0280910346
230,180800030404,3,130205152.507813,52871.9864096411
231,180800030605,2,253326958.996094,82125.252164401
232,180800030203,2,93194270.4921875,61657.4132237891
233,180800020304,2,235647788.683594,82924.9742220362
234,180800020209,2,302540231.765625,94934.9205005898
235,180200021404,3,251208947.15625,80579.8775117239
236,180200021002,2,105160309.851563,53123.1511452402
237,180600140101,0,54194906.0351563,65871.3346717638
238,180600100702,4,73294304.078125,52187.9335861046
239,180600100701,4,126614184.234375,57855.3205852146
240,180600090103,4,69372372.4375,46453.4032988572
241,180600060605,5,117639430.53125,87537.7886942049
242,180600060604,4,110270502.613281,69196.6485808847
243,180600070402,5,145213808.523438,72730.0049515433
244,180600050305,2,70998622.8828125,47951.571032067
245,180600050203,5,138703757.933594,77901.9113516156
246,180600040304,3,142558138.46875,77473.6463728451
247,180600040207,4,191711923.566406,96168.2833399054
248,180300120303,3,123990239.949219,59415.4924181441
249,180300120602,3,165979494.914063,65331.2242412993
250,180300090804,2,232322474.054688,115549.452554207
251,180300090803,2,218940025.402344,96080.3854249049
252,180400011403,3,124782187.585938,103357.890875242
253,180400011603,4,235065274.265625,95146.6805088877
254,180400011702,4,155868189.933594,145262.553824726
255,180400091301,3,84107992.234375,53081.116995786
256,180400091202,4,73783589.8632813,56749.5621445172
257,180400100605,4,222113678.726563,101655.070303744
258,180400100602,3,71454382.359375,55426.1702045558
259,180400120203,3,62490353.71875,42902.9831238581
260,180400120405,3,119946557.222656,87609.7437827613
261,180400120303,3,98855248.8359375,84863.9187931583
262,180400130201,4,112190994.21875,57046.0439189276
263,180201290201,3,91169642.484375,53250.5985944952
264,180201290302,3,98490219.7148438,59270.2138470349
265,180201250501,3,79139131.5546875,40077.6061559344
266,180201220202,2,74161487.25,47283.4563344193
267,180800030607,2,219869534.03125,101910.182930015
268,180800020201,2,218439049.265625,69540.1879818054
269,180200020402,3,204223939.527344,95672.8714746374
270,180200020705,2,113921520.328125,62997.3378965612
271,180200020502,2,77763334.0507813,46960.1616213212
272,180200020603,3,120541747.148438,55058.30745248
273,180600100602,5,167382005.769531,64887.1823803181
274,180600130105,5,185041862.945313,73185.3137894776
275,180600080301,5,216266219.300781,79645.6228780302
276,180600070401,4,197088966.558594,67160.3488851173
277,180600040103,3,210689274.878906,76228.6151146173
278,180600040102,3,146207778.167969,69052.1070481511
279,180300121702,2,77392866.6523438,51743.3920230019
280,180300121402,2,76070612.2226563,53333.9342146629
281,180300121704,2,178930083.464844,78066.2859750386
282,180300122202,2,109922839.386719,53277.5710172687
283,180400070402,4,106961266.136719,74010.8381028405
284,180400070304,3,206903763.972656,116901.067803577
285,180400010802,3,107234761.496094,72213.2366274976
286,180400011101,3,166926526.664063,68496.576648745
287,180400011502,4,140151445.804688,74669.1661993805
288,180400080403,3,137784829.519531,61695.1384437809
289,180400100302,4,259948106.992188,103328.462216388
290,180201290102,3,100258643.175781,51998.9798127435
291,160501010301,4,117107436.554688,56654.18924173
292,180201290301,4,232615902.011719,79836.2125967558
293,160501020205,4,141016100.160156,65291.1717936351
294,160501020204,4,180997897.582031,60952.7333937664
295,160501010102,2,1538109.8984375,10321.6677116727
296,180201230201,2,137212694.753906,51710.5418697074
297,160501020107,3,157561589.21875,59695.7220490851
298,180800031302,2,157487816.039063,67372.4064653617
299,180800031402,2,40299810.9023438,34795.6533765765
300,180800030507,2,224605793.796875,83273.1247304531
301,180800020105,2,126227264.113281,62301.349857599
302,180800020102,2,148105240.34375,65347.5921565933
303,180800010301,2,17045671.9257813,24308.7427670622
304,180800010202,2,100884048.53125,52349.7470614386
305,180800010101,2,139144543.269531,70449.6187523219
306,180800010106,2,163303591.128906,73099.8678685498
307,180600100102,5,135592007.933594,72893.4100875484
308,180600130203,5,207967890.320313,89611.9700142286
309,180600070304,3,78941288.09375,45552.8707154996
310,180600070302,3,222600107.742188,82223.6780880194
311,180300121601,2,81977700.5546875,60447.6828951291
312,180300121504,2,200101100.785156,96490.1826659227
313,180300122104,2,170741625.875,67608.9550527903
314,180300120703,2,94651277.3867188,60618.3511960751
315,180400070401,3,101478407.433594,69509.0718705986
316,180400070302,4,86765592.359375,63973.1536005963
317,180400010504,2,98301266.265625,54702.0584766298
318,180400010501,4,231606072.285156,96410.459634629
319,180400080303,4,81960539.0625,50566.7547485253
320,180400080304,4,130409232.425781,82270.806121641
321,180400080204,3,238700775.398438,111874.814370601
322,180400080203,4,127657658.378906,67056.9778811235
323,180400090303,3,67198839.8164063,45318.1203730768
324,180400090503,3,186221255.464844,103375.444417772
325,160502010105,2,109642459.890625,58134.5287087179
326,180600070201,2,68837082.0664063,47355.7503640355
327,180300031503,2,106402044.796875,64635.9633640827
328,180300031504,2,150688422.441406,102545.747308066
329,180300031402,2,69195708.4726563,54729.4082380122
330,180300120806,2,226822383.167969,76717.641056011
331,180300060805,2,76185883.2382813,50773.3134446262
332,180300122101,2,236211687.347656,117642.464307431
333,180300071205,3,165039574.945313,136743.211163409
334,180300071203,3,182599599.027344,90208.14455782
335,180400010101,3,177934465.984375,65541.6894598849
336,180400061003,4,122983598.523438,50509.7666250515
337,180400080302,4,104993098.425781,57128.2712577024
338,160503020304,2,99721860.9101563,60655.6474104143
339,180701020901,5,173084320.746094,74608.011135542
340,180300031204,3,98526590.921875,43720.4813687806
341,180300040306,2,126261472.289063,73946.1775329136
342,180300050602,2,67621052.8945313,39417.4755842442
343,180300060703,2,92091866.9882813,75667.6081272875
344,180300070802,4,140976037.4375,65182.6952727808
345,180300071001,4,157979433.035156,60673.5070930698
346,180300071003,2,98840660.2070313,64589.6679567442
347,180300060403,2,90926203.984375,67388.4629591206
348,180300100501,5,145641292.367188,64544.8917367899
349,180300100605,4,227151575.484375,80695.0630138365
350,180400060804,3,136586657.929688,89558.8896764649
351,180400090101,3,182512820.8125,65057.3090049049
352,180400060404,3,88840845.7929688,47339.223961334
353,180901020201,3,175758581.425781,64992.9891687265
354,160503010101,3,85220277.90625,74996.0801686522
355,180901010401,4,195416858.382813,80412.3065189939
356,160503010105,2,181265802.066406,93157.9301758279
357,160503010302,2,102031649.632813,73388.665704171
358,160503020302,2,5858431.68359375,10704.2460112208
359,180701040102,3,93263783.3710938,48831.3400507345
360,180701050201,4,138822758.410156,71213.1096605176
361,180701020603,5,204635288.707031,78869.7675558852
362,180701020506,3,119969341.976563,61056.2048726423
363,180902061302,3,166963072.917969,85290.0783418564
364,180701020303,4,144310170.242188,56137.0443479996
365,180300040304,2,75851723.375,49968.7439707002
366,180300060303,2,91252909.8242188,57646.2503620082
367,180300070901,2,93147181.4960938,46993.1804468456
368,180300070402,3,94803745.9296875,60279.7889160036
369,180300070401,3,113282394.261719,55018.483533262
370,180701020107,5,229716311.332031,105855.179683529
371,180701050105,5,188752311.757813,101121.80417932
372,180902061306,2,112747263.523438,109977.873745804
373,180902061408,2,173112210.753906,164790.499640853
374,180300030406,2,243527656.5,76255.6178761749
375,180300030302,2,87719920.0546875,46919.4041960712
376,180300020702,4,541370157.207031,152983.745818056
377,180300050102,3,76960498.5703125,52081.4007046065
378,180300010501,3,116635023.289063,56883.4891114806
379,180300010105,2,173355150.542969,72401.882348566
380,180300100101,1,65123217.4804688,42383.2222276865
381,180300100207,3,109933074.070313,50956.4717421257
382,180300100306,3,124766885.824219,70668.2319153686
383,180300100204,2,141210195.988281,58040.5362413144
384,180901020501,2,240430121.933594,93403.3991742911
385,180901020502,2,198113347.074219,95289.4843204283
386,160600100702,1,3240506.828125,11565.0753981159
387,180901020102,2,85227912.4492188,46739.2950128638
388,180702010002,2,10204294.140625,51371.8744600385
389,180701050207,4,87897990.6679688,53407.8510354962
390,180701050210,3,95531190.5898438,53007.6152438139
391,180701020105,4,211773842.710938,82012.7348544306
392,180902061705,2,163475474.027344,112035.331602121
393,180902062404,1,148845406.425781,59547.2456254225
394,180902061502,1,82462051.4765625,103916.540338562
395,180902060202,2,64855287.0546875,49743.9349833001
396,180300020201,2,179409638.886719,77699.7459772473
397,180901030201,2,74928420.1171875,50604.8705329194
398,180901030203,1,249168617.058594,128270.27581432
399,180901020804,3,165530730.605469,92260.9017424163
400,180902010104,5,85278176.2109375,54500.5795261511
401,180701060603,4,185321366.011719,96884.4216917212
402,180702030902,4,159287596.683594,103198.312131916
403,180701060205,5,68958771.984375,48971.7914370481
404,180701060601,5,208460539.648438,104053.100548325
405,180701060302,5,77494676.3867188,44433.5942861942
406,180902061903,2,152644108.035156,133928.153156728
407,180902062302,1,160746272.089844,99782.0462026866
408,180902062107,1,65882690.1445313,51560.0832100827
409,180902060404,1,88966566.9570313,70324.4491633514
410,180902062105,1,103739514.011719,80243.1747869849
411,180902062108,1,152811966.796875,74853.4763051986
412,180902050803,1,220606026.742188,96473.3940495954
413,180902050405,2,99607549.5195313,62923.2846141032
414,180902050502,2,203146940.425781,104341.782744625
415,180902050804,2,324626771.167969,136493.611632032
416,180902050302,0,23592474.9335938,27375.9081920258
417,180902010805,1,189635545.695313,78569.2014498438
418,180703010103,5,204502156.808594,109909.805705962
419,180703010203,5,196779436.816406,75389.533866838
420,180703010102,5,151615356.777344,80195.8287590359
421,180702020308,2,145230142.640625,70310.5665882989
422,180702030706,3,169675506.878906,88387.40670642
423,180702031001,5,142244370.003906,64973.1908396407
424,180702030305,5,133953251.164063,84028.6022827572
425,180902080402,1,94993501.4257813,83725.0801393599
426,180902080401,3,120750078.226563,100415.72870043
427,180702030301,5,154933024.660156,74056.2109780373
428,180902080901,1,174045427.730469,63107.6401646548
429,180902070803,1,94271339.515625,81344.5657714065
430,180902051001,1,198321399.367188,66703.4983180293
431,180902050902,1,181622443.933594,82647.7119261603
432,180902050604,1,102420481.523438,51017.5526829357
433,180902050601,1,119281475.816406,61867.3622277783
434,180902040301,1,108784602.445313,60819.4207107082
435,180902041202,1,108954340.9375,83274.6335017227
436,180902010803,1,150697145.941406,68761.6900214885
437,180902010503,1,127820576.800781,60998.9571895614
438,180902010801,1,140905380.121094,58166.241800707
