Name,Level 1,Level 2,Level 3,HUC_4,HUC_6,HUC_8,HUC_10
Sacramento River,Sacramento River,,,1802,,,
Cow Creek,,Cow Creek,,,,18020151,
Clear Creek,,Clear Creek,,,,,1802015401
Bear Creek,,Bear Creek,,,,,1802015404
Cottonwood Creek,,Cottonwood Creek,,,,18020152,
Battle Creek,,Battle Creek,,,,18020153,
Paynes Creek,,Paynes Creek,,,,,1802015501
Antelope Creek,,Antelope Creek,,,,,1802015601
Elder Creek,,Elder Creek,,,,,1802015602
Mill Creek,,Mill Creek,,,,,1802015603
Thomes Creek,,Thomes Creek,,,,,"1802015604, 1802015605"
Deer Creek,,Deer Creek,,,,,1802015702
Big Chico Creek,,Big Chico Creek,,,,,1802015705
Stony Creek,,Stony Creek,,,,18020115,
Butte Creek,,Butte Creek,,,,,"1802015802, 1802015803, 1802015804"
Feather River,,Feather River,,,,"18020159, 18020121, 18020123",
Yuba River,,,Yuba River,,,18020125,
Bear River,,,Bear River,,,18020126,
American River,,American River,,,,"18020111, 18020128, 18020129",
San Joaquin River,San Joaquin River,,,1804,,,
Mokelumne River,,Mokelumne River,,,,18040012,
Consumnes River,,,Consumnes River,,,18040013,
Calaveras River,,Calaveras River,,,,18040011,
Stanislaus River,,Stanislaus River,,,,18040010,
Tuolumne River,,Tuolumne River,,,,18040009,
Merced River,,Merced River,,,,18040008,
