reach_id,dir_id,q_in,model_vintage,plan_name,terrain_name,time_stamp,time_stamp_exact
R2,R2,135,2015,MokR2_Calib_TS,Terrainnew,18May2019 23:00:00,18MAY2019 23 00 00
R2,R2,200,2015,MokR2_Calib_TS,Terrainnew,21May2019 23:00:00,21MAY2019 23 00 00
R2,R2,400,2015,MokR2_Calib_TS,Terrainnew,24May2019 23:00:00,24MAY2019 23 00 00
R2,R2,600,2015,MokR2_Calib_TS,Terrainnew,27May2019 23:00:00,27MAY2019 23 00 00
R2,R2,750,2015,MokR2_Calib_TS,Terrainnew,30May2019 23:00:00,30MAY2019 23 00 00
R2,R2_4410,4410,2015,MokR2_QVerify,Terrainnew,21May2019 3:00:00,21MAY2019 03 00 00
R2,R2_8810,8810,2015,MokR2,Terrain,21May2019 3:00:00,21MAY2019 03 00 00
R3,R3,100,2015,MokR3_Calib_RatingTS,Terrain,26Apr2019 8:00:00,26APR2019 08 00 20 089
R3,R3,200,2015,MokR3_Calib_RatingTS,Terrain,28Apr2019 8:00:00,28APR2019 08 00 24 107
R3,R3,400,2015,MokR3_Calib_RatingTS,Terrain,30Apr2019 8:00:00,30APR2019 08 00 24 107
R3,R3,600,2015,MokR3_Calib_RatingTS,Terrain,02May2019 8:00:00,02MAY2019 08 00 24 107
R3,R3,800,2015,MokR3_Calib_RatingTS,Terrain,04May2019 8:00:00,04MAY2019 08 00 24 107
R3,R3,1000,2015,MokR3_Calib_RatingTS,Terrain,06May2019 8:00:00,06MAY2019 08 00 24 107
R3,R3,1400,2015,MokR3_Calib_RatingTS,Terrain,08May2019 8:00:00,08MAY2019 08 00 24 107
R3,R3,1800,2015,MokR3_Calib_RatingTS,Terrain,10May2019 8:00:00,10MAY2019 08 00 24 107
R3,R3,2200,2015,MokR3_Calib_RatingTS,Terrain,12May2019 8:00:00,12MAY2019 08 00 24 107
R3,R3,2600,2015,MokR3_Calib_RatingTS,Terrain,14May2019 8:00:00,14MAY2019 08 00 24 107
R3,R3,3000,2015,MokR3_Calib_RatingTS,Terrain,16May2019 8:00:00,16MAY2019 08 00 24 107
R3,R3,3400,2015,MokR3_Calib_RatingTS,Terrain,18May2019 8:00:00,18MAY2019 08 00 24 107
R3,R3,3800,2015,MokR3_Calib_RatingTS,Terrain,20May2019 8:00:00,20MAY2019 08 00 24 107
R3,R3,4200,2015,MokR3_Calib_RatingTS,Terrain,22May2019 8:00:00,22MAY2019 08 00 24 107
R3,R3,4600,2015,MokR3_Calib_RatingTS,Terrain,24May2019 8:00:00,24MAY2019 08 00 24 107
