JPE_redd_id,date,survey_method,longitude,latitude,reach,reach_sub_unit,river_mile,redd_loc,pre_redd_substrate_size,redd_substrate_size,tail_substrate_size,fish_guarding,redd_measured,why_not_measured,pre_redd_depth,redd_pit_depth,redd_tail_depth,redd_length,redd_width,flow_meter,flow_fps,start_number_flow_meter,end_number_flow_meter,flow_meter_time,start_number_flow_meter_80,end_number_flow_meter_80,flow_meter_time_80,survey,run,species,age_index,age,date_measured,tailspill,fork
Redd_0035,2002-10-01,Snorkel,-122,40,R2,NA,2,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,spring,Chinook,0,NA,NA,NA,NA
Redd_0036,2002-10-01,Snorkel,-122,40,R2,NA,2,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,spring,Chinook,0,NA,NA,NA,NA
Redd_0037,2002-10-01,Snorkel,-122,40,R2,NA,1,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,spring,Chinook,0,NA,NA,NA,NA
Redd_0038,2002-10-01,Snorkel,-122,40,R2,NA,1,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,spring,Chinook,0,NA,NA,NA,NA
Redd_0039,2002-10-01,Snorkel,-122,40,R2,NA,0,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,spring,Chinook,0,NA,NA,NA,NA
Redd_0040,2002-10-01,Snorkel,-122,40,R2,NA,0,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,spring,Chinook,0,NA,NA,NA,NA
Redd_0041,2002-10-01,Snorkel,-122,40,R3,NA,2,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,spring,Chinook,0,NA,NA,NA,NA
Redd_0042,2002-10-01,Snorkel,-122,40,R3,NA,2,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,spring,Chinook,0,NA,NA,NA,NA
Redd_0141,2003-10-01,Snorkel,-122,40,R2,NA,2,RR,NA,NA,NA,UNK,TRUE,UNK,10,16,8,182,72,Flow Bomb,2,862000,864537,100,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0142,2003-10-01,Snorkel,-122,40,R2,NA,1,RL,NA,NA,NA,UNK,TRUE,UNK,15,24,13,66,43,Flow Bomb,2,877300,880150,100,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0143,2003-10-01,Snorkel,-122,40,R2,NA,1,RL,NA,NA,NA,UNK,TRUE,UNK,15,19,13,80,42,Flow Bomb,2,880100,882244,100,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0144,2003-10-01,Snorkel,-122,40,R2,NA,1,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0145,2003-10-01,Snorkel,-122,40,R2,NA,1,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0146,2003-10-01,Snorkel,-122,40,R2,NA,2,RC,NA,NA,NA,UNK,TRUE,UNK,13,16,5,152,108,Flow Bomb,1,864580,865786,100,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0147,2003-10-01,Snorkel,-122,40,R2,NA,2,RR,NA,NA,NA,UNK,TRUE,UNK,10,15,7,170,51,Flow Bomb,1,865960,867374,100,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0148,2003-10-01,Snorkel,-122,40,R2,NA,2,RC,NA,NA,NA,UNK,TRUE,UNK,26,27,9,240,98,Flow Bomb,3,867400,870475,100,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0149,2003-10-01,Snorkel,-122,40,R2,NA,2,RC,NA,NA,NA,UNK,TRUE,UNK,14,23,12,140,52,Flow Bomb,3,870500,873847,100,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0150,2003-10-01,Snorkel,-122,40,R2,NA,2,RL,NA,NA,NA,UNK,TRUE,UNK,17,22,4,197,126,Flow Bomb,1,873900,875108,100,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0151,2003-10-01,Snorkel,-122,40,R2,NA,2,RC,NA,NA,NA,UNK,TRUE,UNK,15,23,10,265,148,Flow Bomb,2,875100,877369,100,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
Redd_0152,2003-10-01,Snorkel,-122,40,R2,NA,1,RC,NA,NA,NA,UNK,TRUE,UNK,23,27,8,178,187,Flow Bomb,1,349000,350636,100,NA,NA,NA,8,spring,Chinook,0,NA,NA,NA,NA
