identity,Ac,s,d,w,w/d,d/D50,CVd,CVw,k,D50,D84,Cv,Ls
HLP_518KNCAWC,47,0.041,0.5,13,25.8,2,0.12,0.42,1.1,248,1000,108,150
HLP_526CE0323,157,0.029,1.3,7.7,6.1,260,0.12,0.44,1.1,5,95,262,150
HLP_526PS0072,361,0.016,0.7,5.6,7.7,8.2,0.16,0.14,1.2,85,757,34,750
HLP_526PS0396,71,0.022,0.3,1.9,5.6,6.7,0.37,0.32,1.4,45,1000,2501,144
HLP_526PS0440,275,0.02,0.7,4.8,7.3,10.8,0.11,0.33,1.2,65,270,821,150
HLP_526PS1420,76,0.028,0.4,1.3,3.1,20,0.19,0.54,1.2,20,193,32,150
HLP_526PSCBBL,35,0.047,0.5,2.8,6.2,9.6,0.18,0.17,1.1,52,1000,0,150
HLP_526PSCBLK,14,0.005,0.4,3.3,7.8,200,0.08,0.22,1.3,2,2,1155,150
HLP_526WE0506,275,0.024,0.4,13.7,32.7,1.6,0.43,0.44,1.2,250,2500,172,150
HLP_526WTCACT,88,0.042,1.3,4.4,3.3,9.4,0.21,0.32,1.4,138,3400,9,150
HLP_527CE0093,13,0.054,0.4,2.7,6.5,25,0.32,0.36,1.3,16,250,36,298
HLP_527PS0388,32,0.015,0.5,1.8,3.8,17.2,0.18,0.21,1.1,29,77,65,143
HLP_527PS1156,18,0.042,0.5,2.1,4.4,13.9,0.2,0.27,1.1,36,111,26,150
HLP_527PS1412,25,0.043,0.6,2.4,4,22.2,0.17,0.16,1.3,27,147,72,150
HLP_527SED084,44,0.007,0.3,4.3,17.2,30,0.28,0.23,1.1,10,40,1682,293
HLP_3,45,0.01,0.3,8.8,33.7,0.1,0.21,0.03,1.7,3,6,3320,150
HLP_4,1030,0.02,1.3,10.5,12.9,0.1,0.05,0.22,1.1,11,190,5000,150
HLP_10,71,0.039,1.2,10.6,8.6,6.3,0.25,0.24,1.2,190,5000,616,150
HLP_24,44,0.007,0.4,16,37.3,0.4,0.11,0.26,1.3,1000,5000,536,150
HLP_28,233,0.003,0.5,23.1,47.1,2.6,0.28,0.43,1.2,190,5000,5000,150
HLP_37,591,0.012,0.9,8.2,8.9,4.7,0.12,0.29,1.4,190,5000,2628,150
HLP_53,7498,0.006,0.9,16.8,19.1,0.9,0.46,0.2,1.1,1000,5000,2509,150
HLP_54,7498,0.005,0.9,18.9,21.8,0.9,0.41,0.23,1.3,1000,5000,1956,250
HLP_55,7434,0.004,1.1,15.2,14.5,8.2,0.58,0.21,1.1,128,5000,449,150
HLP_59,7398,0.001,0.8,7.4,9.9,8.3,0.52,0.31,1.1,90,5000,404,150
LSR_504PS0227,544,0.009,1.6,30.7,19.1,16,0.25,0.31,1.3,100,250,4728,250
LSR_505BMCMCR,4,0.098,0.7,7.3,10,2.6,0.2,0.35,1.2,280,820,44,150
LSR_505CE0137,31,0.032,1.1,3.7,3.7,66,0.23,0.35,1.1,16,250,3150,148
LSR_505LBCAMR,9,0.143,0.9,7.1,8.7,2.2,0.22,0.28,1.2,390,2500,25,150
